ts_iso,symbol,bar_start_ms,bar_open,bar_high,bar_low,bar_close,delta_tick,delta_z,trades,donchian_high,donchian_low,touch_low,touch_high,signal,reason
2025-12-17T10:43:30.000Z,SOLUSDT,1765968210000,126.41,126.41,126.41,126.41,-2,0.0,2,126.73,126.0,0,0,,warmup
2025-12-17T10:43:30.000Z,DOGEUSDT,1765968210000,0.13,0.13,0.13,0.13,-4,0.0,4,0.13011,0.1294,0,1,,warmup
2025-12-17T10:43:30.000Z,ETHUSDT,1765968210000,2921.85,2921.85,2921.37,2921.37,-10,0.0,10,2926.69,2912.83,0,0,,warmup
2025-12-17T10:43:35.000Z,BTCUSDT,1765968215000,86685.6,86685.6,86684.0,86684.0,-6,0.0,6,86703.3,86237.3,0,1,,warmup
2025-12-17T10:43:35.000Z,SOLUSDT,1765968215000,126.41,126.41,126.41,126.41,-5,0.0,5,126.73,126.0,0,0,,warmup
2025-12-17T10:43:35.000Z,XRPUSDT,1765968215000,1.9049,1.9049,1.9049,1.9049,-8,0.0,8,1.9069,1.8974,0,0,,warmup
2025-12-17T10:43:35.000Z,DOGEUSDT,1765968215000,0.13,0.13,0.13,0.13,-5,0.0,5,0.13011,0.1294,0,1,,warmup
2025-12-17T10:43:35.000Z,ETHUSDT,1765968215000,2921.37,2921.38,2921.37,2921.37,-4,0.0,6,2926.69,2912.83,0,0,,warmup
2025-12-17T10:43:40.000Z,DOGEUSDT,1765968220000,0.13,0.13001,0.13,0.13001,3,0.0,3,0.13011,0.1294,0,1,,warmup
2025-12-17T10:43:40.000Z,XRPUSDT,1765968220000,1.9049,1.905,1.9049,1.905,-3,0.0,5,1.9069,1.8974,0,1,,warmup
2025-12-17T10:43:40.000Z,SOLUSDT,1765968220000,126.41,126.41,126.41,126.41,-5,0.0,5,126.73,126.0,0,0,,warmup
2025-12-17T10:43:40.000Z,ETHUSDT,1765968220000,2921.37,2921.38,2921.37,2921.37,5,0.0,7,2926.69,2912.83,0,0,,warmup
2025-12-17T10:43:40.000Z,BTCUSDT,1765968220000,86684.0,86703.3,86677.9,86677.9,-4,0.0,10,86703.3,86237.3,0,1,,warmup
2025-12-17T10:43:45.000Z,SOLUSDT,1765968225000,126.41,126.41,126.41,126.41,-5,0.0,5,126.73,126.0,0,0,,warmup
2025-12-17T10:43:45.000Z,XRPUSDT,1765968225000,1.905,1.905,1.9049,1.9049,-9,0.0,9,1.9069,1.8974,0,1,,warmup
2025-12-17T10:43:45.000Z,DOGEUSDT,1765968225000,0.13001,0.13001,0.13001,0.13001,5,0.0,5,0.13011,0.1294,0,1,,warmup
2025-12-17T10:43:45.000Z,ETHUSDT,1765968225000,2921.37,2921.38,2921.37,2921.38,3,0.0,3,2926.69,2912.83,0,0,,warmup
2025-12-17T10:43:45.000Z,BTCUSDT,1765968225000,86677.9,86703.3,86677.9,86677.9,-4,0.0,8,86703.3,86237.3,0,1,,warmup
2025-12-17T10:43:50.000Z,BTCUSDT,1765968230000,86677.9,86688.2,86677.9,86688.2,-3,0.0,3,86703.3,86237.3,0,1,,warmup
2025-12-17T10:43:50.000Z,DOGEUSDT,1765968230000,0.13001,0.13001,0.13001,0.13001,8,0.0,8,0.13011,0.1294,0,1,,warmup
2025-12-17T10:43:50.000Z,SOLUSDT,1765968230000,126.41,126.41,126.4,126.4,-7,0.0,7,126.73,126.0,0,0,,warmup
2025-12-17T10:43:50.000Z,ETHUSDT,1765968230000,2921.38,2921.38,2921.38,2921.38,5,0.0,5,2926.69,2912.83,0,0,,warmup
2025-12-17T10:43:50.000Z,XRPUSDT,1765968230000,1.9049,1.905,1.9049,1.905,-4,0.0,6,1.9069,1.8974,0,1,,warmup
2025-12-17T10:43:55.000Z,ETHUSDT,1765968235000,2921.38,2921.52,2921.38,2921.52,18,0.0,18,2926.69,2912.83,0,0,,warmup
2025-12-17T10:43:55.000Z,DOGEUSDT,1765968235000,0.13001,0.13001,0.13001,0.13001,8,0.0,8,0.13011,0.1294,0,1,,warmup
2025-12-17T10:43:55.000Z,BTCUSDT,1765968235000,86688.2,86700.0,86682.6,86700.0,-2,0.0,6,86703.3,86237.3,0,1,,warmup
2025-12-17T10:43:55.000Z,XRPUSDT,1765968235000,1.905,1.905,1.905,1.905,4,0.0,4,1.9069,1.8974,0,1,,warmup
2025-12-17T10:43:55.000Z,SOLUSDT,1765968235000,126.4,126.44,126.4,126.44,7,0.0,7,126.73,126.0,0,0,,warmup
2025-12-17T10:44:00.000Z,DOGEUSDT,1765968240000,0.13001,0.13002,0.13001,0.13002,9,0.0,9,0.13011,0.1294,0,1,,warmup
2025-12-17T10:44:00.000Z,ETHUSDT,1765968240000,2921.52,2921.71,2921.52,2921.71,16,0.0,16,2926.69,2912.83,0,0,,warmup
2025-12-17T10:44:00.000Z,SOLUSDT,1765968240000,126.44,126.44,126.44,126.44,5,0.0,5,126.73,126.0,0,0,,warmup
2025-12-17T10:44:00.000Z,XRPUSDT,1765968240000,1.905,1.9053,1.905,1.9053,5,0.0,5,1.9069,1.8974,0,1,,warmup
2025-12-17T10:44:00.000Z,BTCUSDT,1765968240000,86700.0,86700.0,86694.8,86694.8,-5,0.0,5,86703.3,86237.3,0,1,,warmup
2025-12-17T10:44:05.000Z,DOGEUSDT,1765968245000,0.13002,0.13002,0.13002,0.13002,4,0.0,4,0.13011,0.1294,0,1,,warmup
2025-12-17T10:44:05.000Z,XRPUSDT,1765968245000,1.9053,1.9053,1.9053,1.9053,3,0.0,3,1.9069,1.8974,0,1,,warmup
2025-12-17T10:44:05.000Z,BTCUSDT,1765968245000,86694.8,86694.9,86694.8,86694.9,-3,0.0,3,86703.3,86237.3,0,1,,warmup
2025-12-17T10:44:05.000Z,SOLUSDT,1765968245000,126.44,126.44,126.44,126.44,5,0.0,5,126.73,126.0,0,0,,warmup
2025-12-17T10:44:05.000Z,ETHUSDT,1765968245000,2921.71,2921.71,2921.71,2921.71,7,0.0,7,2926.69,2912.83,0,0,,warmup
2025-12-17T10:44:10.000Z,BTCUSDT,1765968250000,86694.9,86700.0,86694.3,86700.0,-1,0.0,3,86703.3,86237.3,0,1,,warmup
2025-12-17T10:44:10.000Z,SOLUSDT,1765968250000,126.44,126.45,126.44,126.45,4,0.0,4,126.73,126.0,0,0,,warmup
2025-12-17T10:44:10.000Z,ETHUSDT,1765968250000,2921.71,2921.75,2921.71,2921.75,4,0.0,4,2926.69,2912.83,0,0,,warmup
2025-12-17T10:44:10.000Z,DOGEUSDT,1765968250000,0.13002,0.13005,0.13002,0.13005,8,0.0,8,0.13011,0.1294,0,1,,warmup
2025-12-17T10:44:10.000Z,XRPUSDT,1765968250000,1.9053,1.9053,1.9053,1.9053,5,0.0,5,1.9069,1.8974,0,1,,warmup
2025-12-17T10:44:15.000Z,SOLUSDT,1765968255000,126.45,126.46,126.45,126.46,4,0.0,4,126.73,126.0,0,0,,warmup
2025-12-17T10:44:15.000Z,BTCUSDT,1765968255000,86700.0,86700.0,86688.7,86688.7,-7,0.0,7,86703.3,86237.3,0,1,,warmup
2025-12-17T10:44:15.000Z,ETHUSDT,1765968255000,2921.75,2921.83,2921.37,2921.83,3,0.0,5,2926.69,2912.83,0,0,,warmup
2025-12-17T10:44:15.000Z,DOGEUSDT,1765968255000,0.13005,0.13005,0.13005,0.13005,4,0.0,4,0.13011,0.1294,0,1,,warmup
2025-12-17T10:44:15.000Z,XRPUSDT,1765968255000,1.9053,1.9053,1.9053,1.9053,4,0.0,4,1.9069,1.8974,0,1,,warmup
